timestamp,type
00:01:28,cough
00:01:46,repeated
00:01:53,pause
00:03:29,stutter
00:03:33,pause
00:03:47,repeat
00:04:35,repeat
00:04:50,repeat
00:05:34,pause
00:06:06,pause_irregular_reading
00:06:59,repeat
00:07:23,stutter
00:08:56,repeat
00:09:43,repeat
00:10:35,stutter
00:11:12,stutter
00:11:32,repeat
00:11:50,stutter
00:12:40,irregular_reading
00:12:52,wrong_pronunciation
00:13:18,stutter
00:13:41,cut_in_clip
00:13:53,irregular_reading
00:14:10,repeat
00:15:38,repeat
00:16:02,pause
00:17:49,repeat
00:18:22,repeat
00:18:54,repeat
00:19:03,repeat
